Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags	external regressor correlation mot_x	external regressor correlation mot_y	external regressor correlation mot_z	external regressor correlation mot_pitch	external regressor correlation mot_roll	external regressor correlation mot_yaw	external regressor correlation mot_dx	external regressor correlation mot_dy	external regressor correlation mot_dz	external regressor correlation mot_dpitch	external regressor correlation mot_droll	external regressor correlation mot_dyaw	external regressor correlation csf1	external regressor correlation csf2	external regressor correlation csf3	external regressor correlation signal_checkerboard
ICA_20	58.41902231656423	15.95699147409921	0.3408202941575097	0.8901492739490415	4366	3213	0.7018027328051442	0.5607182233422586	14.669316131506273	8.136331639146897e-45	1	3.649970790253703	3.8201889803325937	2.678270507025333	2.2041696836061497e-05	4.695536984844484e-05	0.0493409810577485	0.2768631259688019	0.2427542748071808	0.0531984079707	1.0218575923942648	0.3136341620453571	0.0064665585379338	24.68488403261072	accepted	Likely BOLD	0.15484865381008014	0.008174435614094677	-0.34995607425188524	0.016639609186945962	0.09848714518455179	-0.03705799277915341	-0.10726359035061248	0.051055772347232346	-0.041317517109691164	-0.013073235255959355	0.04049751302679141	-0.1043013907144838	0.11234092759091217	0.02429516759643679	-0.13700001978025406	0.07115090671901846
ICA_21	20.05959425887862	20.161285460404493	0.2682378492120069	0.7615040989032863	2683	2995	0.5424899290235948	0.5173876166242578	-5.572052353271611	4.8965733418374984e-08	1	2.6033678607220128	1.3200029204508636	4.736469397290695	0.001739378838604	0.2132691469725334	0.0035135387848451	0.2145037452184423	0.0997231903208903	0.0903852279281509	0.0058523547101882	0.9391181695574344	3.727475519166301e-05	n/a	rejected	Unlikely BOLD	-0.025101114725850734	-0.026187154719995973	0.0966197885299834	0.041417372687271234	-0.04017114737437413	0.016764481689776286	0.11165682540652119	-0.08929863304898669	-0.0923396356063041	-0.01577157503090888	0.030031122114477705	0.0030473342749162834	-0.11528186898548945	0.006637686706995942	-0.35379278263542036	0.004177056263800628
ICA_22	83.02080649687403	16.32772390103964	0.618495961951541	1.399664395004877	4881	3393	0.7588315933776231	0.6687527939204292	16.302468297583523	1.8595721187581856e-52	1	4.715558065072921	3.965081190790028	5.810923233479421	2.552559543733679e-07	2.7809931910760533e-05	0.0008928007713772	0.3309421016150322	0.2496627717791382	0.1086609034612374	0.251455353547424	0.6167545904103418	0.0015990653503465	30.01176961417993	accepted	Likely BOLD	-0.042614989236526485	-0.004980542330779098	-0.16862964112398116	-0.052173490015517035	0.02991311016812544	0.0391135386659223	0.01147615569454558	-0.12965456825807015	-0.07399816805008237	0.1366693670799919	-0.13156131075137628	0.14636186711203372	0.059670852619726676	0.08163782321727628	-0.29539963627537164	0.02342051428838131
ICA_23	116.37982270045232	20.13981816877896	0.6828184445285685	1.519570611416062	4129	2940	0.7257487982250709	0.6316524166812074	13.813250052053563	9.665280245336632e-35	1	5.921968642384006	5.592732451793781	3.8923347289025583	1.901384161229202e-09	8.330510692378112e-08	0.0103827041828611	0.3831674497003249	0.3194131571252648	0.0754928261515369	10.579489271999018	0.0013999155035571	0.0631311702760198	30.811975817079983	accepted	Likely BOLD	0.01676740372641869	0.07655979669979171	-0.3309450431314414	-0.05178251432409438	0.13134155486298688	-0.0974359769802922	0.0965788408059781	0.15884339619322688	0.04782950989779579	-0.08057660163488227	0.2589504980775857	-0.24316219071395034	0.16542072067494945	0.08599420045989582	-0.18198984285993347	0.22092186185111484
ICA_24	27.61897331115928	13.994379236573176	0.787713601170716	1.369610115537268	4042	2257	0.5522863329512164	0.345001143902997	0.0	0.0	1	73.60046777590497	74.35414228835977	5.044201693150135	1.1102230246251563e-16	1.1102230246251563e-16	0.0023701580262238	0.8853254247233748	0.861869074707774	0.0956956667592199	0.7256559422074597	0.395592414301629	0.0046007476581574	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	0.07741584308572251	0.038216913308235144	-0.3741310953499422	0.15965182811999665	-0.034744940592416805	-0.09605298661714988	0.01179212394500034	0.18983129151749198	0.00704635456203403	0.03408857925806157	-0.052440335221979266	-0.12829363064648247	0.06878917386577564	-0.06639756224277854	-0.15649975405490496	0.06341119799724974
ICA_25	60.71729182215082	14.102655666430984	0.3419679822479614	0.6848552455860243	4215	3188	0.7237623762376237	0.585436425012056	16.096959437487065	4.163182555444933e-45	1	5.076997928153111	4.283325956752344	1.319483175503657	5.7624769733699566e-08	8.81515447015424e-06	0.2704298032852081	0.3474936904090825	0.2644029572309982	0.0269358416563647	3.215684326647694	0.074860643094069	0.0200709708301189	23.604410842350433	accepted	Likely BOLD	-0.23888276364986244	-0.12850996050212796	0.3495410346995503	0.04674494044668936	-0.21515401116634866	0.1680218343288487	-0.04745352889795041	-0.11375300941313024	0.0169951314605724	-0.03650015248519356	-0.03440109667465568	0.13953597114607613	-0.03989786833009335	-0.021552579112950124	-0.26109061000512707	-0.1285817177744047
ICA_26	46.55204193444222	16.0368558211952	0.3046916020264281	0.8569375605883698	4852	3186	0.7271779908295123	0.5839760742956084	9.345591918253955	4.541195263849677e-20	1	3.62025039084272	2.9340966759329685	2.1279944007054143	2.497995320438484e-05	0.0011382968120291	0.0993062996673754	0.2752292049647857	0.1975721118332327	0.0427353928130215	6.416934115583788	0.0122845339774092	0.0392672531173857	22.192021562002378	accepted	Likely BOLD	-0.09635411114778801	-0.008700867859561362	0.03497835758081664	-0.007294184098780645	-0.03279810796287178	0.055291153886912796	-0.04042154691584613	0.08043615813270412	0.2143573261778382	-0.12328033242493625	0.060011603279383575	-0.05138541451807162	0.22887181967982	-0.013719468945499348	-0.0616276567621672	-0.20269632029451243
ICA_27	110.95320345399097	18.1249308505096	1.806341038896007	2.8284688201161843	6312	4696	0.7884095931898175	0.6980425713980105	8.808048546729799	1.5525399663841897e-17	1	3.396712223211317	3.7312807219850863	4.609747506072083	6.400484108060045e-05	6.47571905963984e-05	0.0041329092633483	0.262699169028994	0.2384517681016167	0.0881802544994753	0.2561039779511314	0.6135193525934068	0.0016285789325356	28.278057785051637	accepted	Likely BOLD	-0.005001167912225678	-0.020606790052779926	0.10475462127589386	-0.04932463197269714	-0.07273306219800625	0.07434386357763725	-0.013463779037504882	-0.06444100702568886	-0.006498481289457171	0.05552846124385824	-0.16450299650577963	0.13336958723739492	-0.009988944560514901	0.02428633026984238	-0.12460404829890175	-0.03983546171161063
ICA_28	23.841751471622036	29.806956632943223	0.7516153826250269	0.6022677554235667	3373	2459	0.6111278195488722	0.5026628430970913	3.4139074321869596	0.0006878904758592	1	4.703178566802592	4.657687682415538	1.8710307883705464	2.686780651295351e-07	2.294847799122479e-06	0.137159112516439	0.3303603157707252	0.281017744903798	0.0377698376083948	3.594982895821786	0.059791403468804	0.0223853997864544	n/a	rejected	Unlikely BOLD	-0.15241068116166917	-0.020461555021668756	0.1592639973702905	0.0002236430377150511	-0.017885939921865615	0.04794070825838694	-0.14380775409483643	-0.0963891070870058	0.14560470165957848	0.24558751745582688	-0.1909377614491948	0.16395998677269305	0.16560599307756105	-0.017044308817745952	-0.029513110229880988	-0.15429011199724646
ICA_29	106.73606222850448	18.502352051231103	0.5718989019117408	1.2001685354961145	5868	4459	0.7836979836979837	0.6704662031232189	13.25421039109141	4.467042382976643e-37	1	2.688365044373104	2.4720356077865064	1.987187594539035	0.001227822911308	0.0057666872873392	0.1185753993947639	0.2199665677625413	0.1718039306557583	0.0400208125654328	2.805513638946728	0.0959314455246399	0.0175558000162955	13.551842533453785	accepted	Likely BOLD	0.005548644018930619	0.08733083660724736	0.13168431531310484	-0.10565032278642073	0.13305847693420478	-0.09375745849065734	0.03247756587607658	0.032808078549613554	0.15005479269746186	-0.2860022472268996	0.23695330210416526	-0.06623698117708812	-0.07245926055591893	0.06507907611197684	0.1714222410379897	-0.13786507994932226
ICA_30	68.93841290102068	18.24824070363268	0.3816378151475033	0.920055904200416	5451	4142	0.7508670520231214	0.635593220338983	17.692786251435017	1.1062805156434908e-61	1	2.931328410979017	3.5322644846732976	2.2039747229033533	0.0004494183254069	0.0001329254343357	0.0902135215154827	0.2351711158400738	0.2286413506585487	0.0441938315107431	10.420734612525834	0.0015172305895146	0.0622427958916994	25.55211850057035	accepted	Likely BOLD	0.09858276291641413	0.01537645778171524	-0.042930705029906036	-0.0044935759093159815	0.02302047835021299	-0.04762110790598125	-0.007207994734720452	0.14652156305477707	0.009819870757478154	-0.2309800882635422	0.2085118199909417	-0.18772088799501244	-0.006751487242730194	-0.0065769521131159294	0.014862420774633333	0.2500399874013393
