mot_x	mot_y	mot_z	mot_pitch	mot_roll	mot_yaw	mot_dx	mot_dy	mot_dz	mot_dpitch	mot_droll	mot_dyaw	csf1	csf2	csf3	signal_checkerboard
-0.00402	-0.110129	0.00975812	0.0328513	-0.0226806	0.0541544	-0.00241563	0.000111875	0.00539562	-0.00699562	-0.00261875	0.00373312	0.0790204	-0.0201478	-0.0614154	0
-0.00862	-0.103629	0.00535812	0.0324513	-0.0188806	0.0515544	-0.00441563	0.00281188	-0.00450437	0.00250437	0.00328125	-0.00126687	0.0790174	-0.0511573	0.0140563	0
-0.00852	-0.0995294	0.00265812	0.0220513	-0.0263806	0.0524544	0.000284375	0.000411875	-0.00280437	-0.00749562	-0.00801875	0.00223312	0.0792164	-0.034833	0.0431627	0.0526548
-0.00462	-0.0974294	0.00335812	0.0261513	-0.0257806	0.0534544	0.00408438	-0.00158813	0.000595625	0.00700437	8.125e-05	0.00233313	0.0791104	-0.0312278	-0.0121161	0.37117
-0.00142	-0.0966294	-0.000741875	0.0459513	-0.0225806	0.0524544	0.00338438	-0.00288813	-0.00420438	0.0227044	0.00268125	0.000333125	0.0790176	-0.0374498	-0.0693818	0.714956
-0.00192	-0.0943294	-0.00114188	0.0311513	-0.0206806	0.0458544	-0.000315625	-0.00138812	-0.000504375	-0.0118956	0.00138125	-0.00526687	0.0790901	-0.0105507	-0.0539722	0.900383
0.00078	-0.0912294	0.00405812	0.0280513	-0.0155806	0.0427544	0.00288438	-0.000588125	0.00509562	-0.000195625	0.00458125	-0.00176688	0.0789753	-0.0133953	-0.0947518	0.970763
0.00188	-0.0770294	-4.1875e-05	0.0428513	-0.0144806	0.0375544	0.00128437	0.0105119	-0.00420437	0.0177044	0.00058125	-0.00386687	0.0789887	-0.0164244	-0.082611	0.992416
0.00268	-0.0660294	-0.00214188	0.0475513	-0.0116806	0.0341544	0.000984375	0.00731187	-0.00220438	0.00760437	0.00228125	-0.00206688	0.0790719	-0.0130662	-0.0846002	0.998211
0.00558	-0.0619294	-0.00244188	0.0516513	-0.0169806	0.0296544	0.00308437	0.000411875	-0.000404375	0.00700438	-0.00581875	-0.00316688	0.0789851	-0.0254036	-0.0969407	0.999616
0.00828	-0.0584294	-0.00704188	0.0510513	-0.0144806	0.0251544	0.00288438	-0.000188125	-0.00470438	0.00230437	0.00198125	-0.00316688	0.0789894	-0.00223182	-0.110864	0.999932
0.00808	-0.0576294	-0.00274188	0.0538513	-0.00668063	0.0207544	-1.5625e-05	-0.00288812	0.00419563	0.00570437	0.00728125	-0.00306688	0.0791015	-0.00763476	-0.06275	0.999999
0.01148	-0.0569294	-0.000141875	0.0575513	-0.00268063	0.0168544	0.00358438	-0.00298813	0.00249562	0.00660438	0.00348125	-0.00256688	0.0790591	-0.0254057	-0.079168	0.947358
0.01288	-0.0518294	-0.00304188	0.0570513	-0.00368063	0.0124544	0.00158437	0.00141188	-0.00300437	0.00240437	-0.00151875	-0.00306688	0.0790543	-0.0248188	-0.0864543	0.628846
0.01188	-0.0504294	0.000758125	0.0552513	0.00131937	0.0131544	-0.000815625	-0.00228813	0.00369563	0.00110437	0.00448125	0.00203313	0.0791449	-0.031469	-0.0546615	0.285061
0.01048	-0.0489294	0.00165812	0.0553513	0.000919375	0.0100544	-0.00121562	-0.00218813	0.000795625	0.00300437	-0.00091875	-0.00176688	0.0791067	-0.0320196	-0.0537859	0.0996339
0.00688	-0.0482294	-0.00374188	0.0568513	-0.00238063	0.0109544	-0.00341562	-0.00298813	-0.00550438	0.00440438	-0.00381875	0.00223313	0.079182	-0.0409424	-0.0329021	0.0292531
0.00758	-0.0489294	-0.00514188	0.0578513	-0.000980625	0.0178544	0.000884375	-0.00438812	-0.00150437	0.00390438	0.00088125	0.00823312	0.0791799	-0.0481435	-0.0164938	0.00760051
0.00758	-0.0519294	-0.00324188	0.0446513	-0.00238063	0.0216544	0.000184375	-0.00668813	0.00179562	-0.0102956	-0.00191875	0.00513313	0.0790736	-0.0449742	-0.0579727	0.00180528
0.00818	-0.0521294	-0.00694188	0.0430513	-0.00408063	0.0272544	0.000784375	-0.00388813	-0.00380437	0.00130437	-0.00221875	0.00693312	0.0792313	-0.0337556	-0.0146203	0
0.00408	-0.0517294	-0.00234188	0.0356513	-0.0160806	0.0320544	-0.00391562	-0.00328812	0.00449562	-0.00449562	-0.0125188	0.00613312	0.0791972	-0.0394292	-0.0450251	0
0.00398	-0.0568294	0.00145812	0.0300513	-0.0169806	0.0277544	8.4375e-05	-0.00878813	0.00369562	-0.00269562	-0.00141875	-0.00296687	0.0790647	-0.0299599	-0.0667726	0
0.00158	-0.0592294	0.00305812	0.0170513	-0.0111806	0.0278544	-0.00221562	-0.00608813	0.00149563	-0.0100956	0.00528125	0.00143313	0.0791782	-0.0139795	-0.0322158	0
0.00418	-0.0581294	0.00485812	0.0176513	-0.0101806	0.0303544	0.00278438	-0.00258812	0.00169562	0.00350438	0.00048125	0.00383313	0.0791423	-0.0176863	-0.0549796	0
0.00558	-0.0555294	0.00345812	0.0177513	-0.0100806	0.0302544	0.00158437	-0.00108813	-0.00150438	0.00300437	-0.00041875	0.00123312	0.07905	-0.01005	-0.068782	0
0.00698	-0.0529294	-0.00314188	0.0251513	-0.00748063	0.0304544	0.00158437	-0.00108812	-0.00670438	0.0103044	0.00208125	0.00153312	0.0791318	-0.00508352	-0.0593467	0
0.00648	-0.0502294	-0.00254188	0.0318513	-0.00668063	0.0340544	-0.000315625	-0.000988125	0.000495625	0.00960438	0.00028125	0.00493313	0.0791335	-0.0116001	-0.0700708	0
0.00608	-0.0534294	0.000558125	0.0402513	-0.00598063	0.0342544	-0.000215625	-0.00688812	0.00299563	0.0113044	0.00018125	0.00153312	0.079048	-0.0197027	-0.062932	0
0.00588	-0.0541294	-0.000741875	0.0328513	-0.00638063	0.0310544	-1.5625e-05	-0.00438812	-0.00140438	-0.00449562	-0.00091875	-0.00186687	0.0791364	-0.0125364	-0.052433	0
0.00168	-0.0522294	5.8125e-05	0.0332513	-0.00998063	0.0310544	-0.00401563	-0.00178813	0.000695625	0.00330438	-0.00411875	0.00133312	0.0791193	-0.0127665	-0.0776427	0
-0.00062	-0.0470294	-0.00184188	0.0270513	-0.00828063	0.0261544	-0.00211563	0.00151187	-0.00200438	-0.00329563	0.00118125	-0.00356688	0.0790011	0.000721299	-0.0950767	0
-0.00052	-0.0446294	-0.00614188	0.0153513	-0.00748063	0.0255544	0.000284375	-0.00128813	-0.00440437	-0.00879562	0.00028125	0.000733125	0.0790932	0.0141835	-0.0821688	0
-0.00192	-0.0423294	-0.00874188	0.0112513	-0.0121806	0.0279544	-0.00121562	-0.00138813	-0.00270438	-0.00119563	-0.00521875	0.00373312	0.0789982	0.0241451	-0.125326	0.0526548
-0.00332	-0.0386294	-0.0104419	0.00955125	-0.0127806	0.0235544	-0.00121563	1.1875e-05	-0.00180438	0.00120438	-0.00111875	-0.00306687	0.0789202	0.0238988	-0.147731	0.37117
-0.00662	-0.0362294	-0.00474188	0.00365125	-0.00888063	0.0202544	-0.00311563	-0.00128813	0.00559562	-0.00299563	0.00338125	-0.00196688	0.0790971	0.020974	-0.0690197	0.714956
-0.01022	-0.0315294	-0.00314188	0.00295125	-0.0107806	0.0191544	-0.00341562	0.00101187	0.00149563	0.00220437	-0.00241875	0.000233125	0.0790564	0.0270752	-0.0905509	0.900383
-0.00842	-0.00112937	-0.00944188	0.0237513	-0.0117806	0.00235438	0.00198437	0.0267119	-0.00640438	0.0237044	-0.00151875	-0.0154669	0.0790034	0.0287085	-0.11197	0.970763
-0.00312	0.0189706	-0.00824188	0.0262513	-0.00998063	-0.00834562	0.00548438	0.0164119	0.00109562	0.00540438	0.00128125	-0.00936688	0.0791875	0.0325643	-0.0567737	0.992416
-0.00382	0.0386706	-0.00464188	0.0121513	-0.00318063	-0.0192456	-0.000515625	0.0160119	0.00349563	-0.0111956	0.00628125	-0.00956687	0.0791499	0.0243701	-0.0790982	0.998211
-0.00262	0.0448706	-0.00524188	0.0142513	0.00651937	-0.0290456	0.00138438	0.00251188	-0.000704375	0.00500437	0.00918125	-0.00846688	0.0790225	0.0143632	-0.100849	0.999616
-0.00492	0.0469706	-0.00694188	0.00225125	0.00881937	-0.0364456	-0.00211563	-0.00158813	-0.00180438	-0.00909562	0.00178125	-0.00606687	0.0791604	0.0235449	-0.0357302	0.999932
-0.00722	0.0551706	-0.00534188	0.00565125	0.0106194	-0.0397456	-0.00211562	0.00451187	0.00149562	0.00630437	0.00128125	-0.00196687	0.0791228	0.0342688	-0.0927887	0.999999
-0.00812	0.0586706	-0.00584188	0.00935125	0.00931937	-0.0436456	-0.000715625	-0.000188125	-0.000604375	0.00660438	-0.00181875	-0.00256688	0.0789927	0.0335849	-0.113161	0.947358
-0.00962	0.0552706	-0.00734188	0.00295125	0.00911937	-0.0423456	-0.00131563	-0.00708812	-0.00160437	-0.00349563	-0.00071875	0.00263312	0.0791361	0.0400073	-0.0729858	0.628846
-0.01052	0.0557706	-0.00724188	0.00045125	0.0152194	-0.0416456	-0.000715625	-0.00318813	-4.375e-06	0.000404375	0.00558125	0.00203313	0.0790304	0.0319574	-0.119308	0.285061
-0.01072	0.0514706	-0.00524188	-0.00014875	0.0244194	-0.0428456	-1.5625e-05	-0.00798813	0.00189563	0.00230438	0.00868125	0.000133125	0.0789808	0.0293823	-0.131522	0.0996339
-0.00912	0.0462706	-0.00724188	0.00385125	0.0235194	-0.0439456	0.00178438	-0.00888813	-0.00210438	0.00690438	-0.00141875	0.000233125	0.0791357	0.0306007	-0.066487	0.0292531
-0.01062	0.0473706	-0.00954188	0.00185125	0.0191194	-0.0468456	-0.00131562	-0.00258812	-0.00240437	0.000904375	-0.00491875	-0.00156688	0.0790792	0.03292	-0.123645	0.00760051
-0.00952	0.0429706	-0.0136419	0.00145125	0.0217194	-0.0423456	0.00128437	-0.00808813	-0.00420438	0.00250437	0.00208125	0.00583313	0.0790135	0.0176282	-0.107172	0.00180528
-0.00822	0.0354706	-0.00764188	0.00025125	0.0205194	-0.0316456	0.00148438	-0.0111881	0.00589563	0.00170438	-0.00171875	0.0120331	0.0791392	0.031481	-0.0814146	0
-0.00842	0.0357706	-0.00854188	-0.00394875	0.0145194	-0.0184456	-1.5625e-05	-0.00338813	-0.00100437	-0.00129563	-0.00651875	0.0145331	0.0790326	0.0375697	-0.100309	0
-0.01792	0.0507706	-0.0127419	-0.0117487	0.00511937	-0.0151456	-0.00931562	0.0113119	-0.00430438	-0.00489563	-0.00991875	0.00463312	0.078985	0.0236511	-0.0520032	0
-0.02012	0.0998706	-0.00264188	-0.0433487	0.00591937	-0.0385456	-0.00201563	0.0454119	0.00999563	-0.0286956	0.00028125	-0.0220669	0.0792512	0.0382938	0.0126237	0
-0.01722	0.110671	0.000858125	-0.0657487	0.0111194	-0.0417456	0.00308437	0.00711188	0.00339562	-0.0194956	0.00468125	-0.00186687	0.0790524	0.0662088	-0.0511177	0
-0.01632	0.122671	0.000258125	-0.0516487	0.0104194	-0.0445456	0.00108438	0.00831187	-0.000704375	0.0170044	-0.00121875	-0.00146687	0.0790146	0.0526676	-0.0553023	0
-0.02602	0.131371	0.00465812	-0.0579487	0.00481937	-0.0440456	-0.00951563	0.00501187	0.00429563	-0.00339562	-0.00611875	0.00183313	0.0791029	0.0731252	-0.0307719	0
-0.02592	0.140771	0.00695812	-0.0557487	0.00281937	-0.0474456	0.000284375	0.00571188	0.00219563	0.00510437	-0.00251875	-0.00206688	0.0790835	0.0568419	-0.0205285	0
-0.02752	0.142471	0.0110581	-0.0619487	-0.00398063	-0.0489456	-0.00141563	-0.00198813	0.00399562	-0.00329562	-0.00731875	-0.000166875	0.0790119	0.050698	-0.0560815	0
-0.02992	0.144371	0.0109581	-0.0779487	-0.00228063	-0.0514456	-0.00221563	-0.00178812	-0.000204375	-0.0130956	0.00118125	-0.00116688	0.0790516	0.0668138	-0.0382419	0
-0.03112	0.154971	0.0116581	-0.0939487	0.00181937	-0.0519456	-0.00101562	0.00691187	0.000595625	-0.0130956	0.00358125	0.000833125	0.0791521	0.0625594	0.00236613	0
-0.03052	0.157471	0.0184581	-0.106649	0.00201937	-0.0521456	0.000784375	-0.00118812	0.00669563	-0.00979563	-0.00031875	0.00113312	0.0789759	0.0827694	-0.0483012	0
-0.02862	0.156371	0.0150581	-0.111549	0.00451937	-0.0519456	0.00208437	-0.00478812	-0.00350437	-0.00199563	0.00198125	0.00153313	0.0788391	0.0897186	-0.0453959	0
-0.03042	0.172071	0.0164581	-0.125749	0.0173194	-0.0575456	-0.00161562	0.0120119	0.00129562	-0.0112956	0.0122813	-0.00426687	0.0791109	0.0829763	0.0585856	0.0526548
-0.02862	0.202671	0.0220581	-0.132049	0.0162194	-0.0681456	0.00198437	0.0269119	0.00549563	-0.00339562	-0.00161875	-0.00926687	0.079131	0.070515	0.0368471	0.37117
-0.02842	0.210071	0.0263581	-0.131449	0.0153194	-0.0767456	0.000384375	0.00371188	0.00419562	0.00350438	-0.00141875	-0.00726687	0.0789915	0.090003	-0.0611029	0.714956
-0.03062	0.203571	0.0147581	-0.131049	0.00881937	-0.0713456	-0.00201563	-0.0101881	-0.0117044	0.00330437	-0.00701875	0.00673312	0.0789603	0.0874062	-0.0383856	0.900383
-0.02132	0.223771	0.0101581	-0.139749	0.0104194	-0.0739456	0.00948438	0.0165119	-0.00470438	-0.00579562	0.00108125	-0.00126687	0.0790878	0.0928104	-0.00215773	0.970763
-0.01612	0.255371	0.0130581	-0.167349	0.0259194	-0.0909456	0.00538437	0.0279119	0.00279562	-0.0246956	0.0149812	-0.0156669	0.0789846	0.110761	-0.0318468	0.992416
-0.00622	0.253671	0.00645812	-0.174649	0.0385194	-0.0957456	0.0100844	-0.00538812	-0.00670438	-0.00439563	0.0120812	-0.00346687	0.0789728	0.113752	-0.0155064	0.998211
0.00378	0.255271	-0.000541875	-0.159949	0.0414194	-0.0980456	0.0101844	-0.00208813	-0.00710437	0.0176044	0.00238125	-0.000966875	0.0790495	0.0977406	0.00629601	0.999616
0.00548	0.257871	-0.00174188	-0.157349	0.0391194	-0.103746	0.00188438	-0.00108813	-0.00130437	0.00550437	-0.00281875	-0.00436687	0.078988	0.110677	-0.00862202	0.999932
-0.00232	0.257371	-0.00204188	-0.169149	0.0326194	-0.108946	-0.00761563	-0.00418813	-0.000404375	-0.00889562	-0.00701875	-0.00386688	0.0790324	0.112509	0.028394	0.999999
-0.00302	0.256071	-0.000441875	-0.158349	0.0360194	-0.107646	-0.000515625	-0.00498812	0.00149563	0.0137044	0.00288125	0.00263312	0.0789959	0.120554	0.0225738	0.947358
